Column1;Location;Agg_CF_irri;Agg_CF_non_irri;country_area_km2
0;AF;58.63909836;31.63591904;658436.479
1;AL;36.57493233;9.070250718;49870.33206
2;DZ;66.2089165;37.03002812;2450281.518
3;AS;0;4.417532544;
4;AD;64.95191477;13.27223319;
5;AO;4.579280496;9.912449816;1271830.211
6;AI;0;22.37208753;
7;AG;10.34755327;4.883459209;
8;AR;37.59660374;4.192924708;4240282.95
9;AM;87.54854424;43.72445567;46316.81
10;AW;0;0;
11;AU;72.79001338;25.40623246;9435406.133
12;AT;1.278775537;1.142827776;182449.0565
13;AZ;86.82314738;44.40994217;125261.1809
14;BH;8.162677508;9.039942666;666.8964162
15;BD;3.009897374;2.343338219;155970.6865
16;BB;17.5110232;7.600422936;
17;BY;3.760535113;2.988721966;585944.4165
18;BE;2.208344468;1.204317505;74970.54511
19;BZ;1.257799458;1.048442937;23997.38039
20;BJ;5.495187126;7.200227473;118945.654
21;BT;1.064191145;0.764600204;47044.2092
22;BO;3.466269154;1.684770366;1171384.619
23;BA;1.335772552;1.015955881;99138.6024
24;BW;13.03606447;33.04354038;675550.2254
25;BR;2.652893061;1.898993283;8878082.273
26;VG;23.41098448;13.24066099;
27;BN;0.204982488;0.179054933;5830.902901
28;BG;27.99219769;9.468704322;204179.8125
29;BF;16.84196028;19.56392958;286473.7148
30;BI;10.68181643;65.19322321;25260.57948
31;KH;9.433757716;3.346641001;187176.2259
32;CM;11.14672306;3.956415806;467944.2209
33;CA;8.376902523;2.685574253;42738501.1
34;CV;26.09498916;8.333333333;4001.759504
35;CF;14.74842612;9.697818614;627342.0701
36;TD;12.31654846;35.81221696;1323200.044
37;CL;83.20225548;35.14160396;1166768.013
38;CN;45.8472784;27.08065257;11452361.83
39;CO;2.247227538;0.77998549;1138117.249
40;KM;5.432335255;9.801121883;1048.441423
41;CG;0.714752024;0.563185617;340445.3457
42;CD;1.874466526;9.382071336;2305179.56
43;CR;2.054183337;0.651581794;52695.12734
44;CI;6.371340865;5.865906126;324687.196
45;HR;1.91704255;1.353792046;109204.173
46;CU;3.85708344;2.991052812;122154.2788
47;CY;76.64316305;48.66421806;13604.95366
48;CZ;1.89791589;1.692548168;188187.6391
49;DK;2.037254816;1.988550641;128232.7137
50;DJ;13.14519689;34.40438326;21833.26055
51;DM;12.59639579;5.818121269;
52;DO;12.06768565;4.027195634;51634.33237
53;TL;11.26335057;3.327651116;14535.33286
54;EC;7.987584336;2.161574499;252147.3848
55;EG;95.67386145;98.40056828;1069995.332
56;SV;1.586820149;1.710094366;21919.70674
57;GQ;0;0.288651484;26341.05103
58;ER;44.68135371;36.04107426;127757.4777
59;EE;1.327984316;1.071266027;156816.6115
60;ET;27.39684297;28.53393388;1150454.864
61;FK;0;5.388298237;26610.62365
62;FO;0;1.43926189;
63;FJ;3.006654552;1.073007592;403770.0657
64;FI;1.518674637;1.731756563;1678489.194
65;FR;9.486812574;3.051079148;1150705.048
66;GF;0.465461004;0.493618114;80206.27948
67;GA;0.942825737;0.410774999;260034.6238
68;GE;83.10410531;24.50739578;125802.3587
69;DE;1.778435202;1.116620648;900284.3709
70;GH;16.83742585;16.07398611;230689.8603
71;GI;48.06596418;30.98467086;
72;GR;69.36030767;28.34788368;209630.003
73;GL;0;0;6148458.656
74;GD;8.333150095;13.47446911;
75;GP;9.946563898;6.95052304;1247.092548
76;GT;1.155630637;1.09924431;117378.6956
77;GN;10.08585487;20.96511075;252086.3978
78;GW;2.705293466;2.647241475;32611.38421
79;GY;0.957287079;0.454884532;210104.5058
80;HT;6.184378487;4.467154392;28308.88884
81;HN;0.917593911;1.080032291;118277.1508
82;HU;1.287631032;1.164123164;199413.3434
83;IS;0;1.082804368;488152.6617
84;IN;30.4942597;21.30608524;3761266.376
85;ID;23.9351701;8.925760609;1832780.656
86;IR;66.85104644;40.14382572;2263410.757
87;IQ;58.97458394;36.66435872;619742.159
88;IE;1.635764465;0.791911458;181908.9738
89;IM;0;4.976552229;
90;IL;87.03051743;54.97082753;35752.57155
91;IT;46.40125686;16.67833515;546854.4351
92;JM;11.65789588;6.302038777;11433.08459
93;JP;0.597367723;0.573191418;572176.187
94;JE;0;13.54248473;
95;JO;79.02769796;49.90227979;120137.7707
96;KZ;52.8010289;27.58019839;5721094.16
97;KE;11.28570923;28.98890657;571018.3766
98;KW;47.0828537;71.02419319;22195.41688
99;KG;63.43358182;55.85859093;88239.67596
100;LA;5.959214598;3.79714499;256185.2396
101;LV;1.457966926;1.244560489;211586.6114
102;LB;86.89903037;50.71153475;14869.15913
103;LS;15.41604645;25.31061773;40660.83699
104;LR;1.272059961;0.646303306;96540.7378
105;LY;46.46438126;27.97231866;1992293.216
106;LI;0.929574607;0.713791809;
107;LT;1.697441195;1.269201868;199629.1158
108;LU;0.990269617;0.722380839;6246.842699
109;MK;53.71756035;18.20279156;44609.92846
110;MG;7.726911727;2.308126378;661029.4422
111;MW;5.224874863;6.617770251;98286.67358
112;MY;0.587702594;0.516838183;324360.9135
113;ML;16.45017985;28.00241263;1352541.848
114;MT;68.77998298;46.19024386;529.1214422
115;MQ;17.08769814;2.539660864;
116;MR;96.76592991;52.61407734;1156195.944
117;MU;0.776887483;3.446001766;273.6274316
118;YT;0;0;
119;MX;36.29135081;14.45045536;2332061.949
120;MD;2.234448458;2.007300744;72125.25547
121;MC;5.051459826;1.726984902;
122;MN;18.96000413;30.62360953;2597298.732
123;ME;1.235131173;0.847905034;
124;MS;0;10.45098999;
125;MA;88.05693244;54.03104543;561424.9914
126;MZ;7.075969067;5.470450579;853384.1172
127;MM;5.691517471;1.777330389;759574.5917
