Country;ID;mean;sd
Albania;AL;473.8266711;60.3727465
Andorra;AD;140.6369389;5.165692786
Austria;AT;269.996848;74.04813558
Azerbaijan;AZ;1671.111526;66.29514705
Belarus;BY;531.0332011;127.5043405
Belgium;BE;72.77512498;43.5820214
Bosnia;BA;370.4464734;73.46521454
Bulgaria;BG;331.3271793;117.9426241
Croatia;HR;242.4649048;106.2415663
Czechia;CZ;467.4808203;37.12622883
Denmark;DK;209.791322;35.41896427
Estonia;EE;197.0701579;63.12700876
Finland;FI;279.0564194;178.6371273
France;FR;251.1355085;109.5959397
Germany;DE;267.4936309;118.0561062
Greece;GR;203.5502424;126.7742705
Hungary;HU;462.4977607;121.4774739
Iceland;IS;179.7391991;116.4380738
Ireland;IE;327.933952;73.76794674
Italy;IT;293.7998911;212.020197
Kazachstan;KZ;1691.026628;114.3145862
Kosovo;XK;565.9296638;29.75697776
Latvia;LV;270.6517744;90.62273797
Liechtenstein;LI;311.7603697;6.215877365
Lithuania;LT;184.284467;88.92605374
Luxembourg;LU;207.6355148;16.09923361
Moldova;MD;345.8787228;78.08009604
Montenegro;ME;548.8477384;30.93459178
Netherlands;NL;65.18649972;39.29735374
North Mazedonia;MK;452.9410521;37.76569697
Norway;NO;381.2228248;323.5474475
Poland;PL;334.3331452;137.8088222
Portugal;PT;361.6546569;275.5768045
Romania;RO;364.7702114;140.9619316
Russia;RU;1156.040178;396.7279469
Serbia;RS;531.5711525;47.88992124
Slovakia;SK;526.3238791;87.49050606
Slovenia;SI;125.9936277;59.50979309
Spain;ES;293.7002491;153.4346806
Sweden;SE;284.6119422;202.4188749
Switzerland;CH;303.7578104;45.13695446
Turkey;TR;339.7234045;30.37545678
Ukraine;UA;654.2077031;161.6785159
UK;GB;102.4383588;83.15230805
