Origin;Origin ID;Destination;Destination ID;Crop;mean;sd
China;CN;Albania;AL;Soy;9368.136;541.2837502
China;CN;Andorra;AD;Soy;10708.794;541.3109004
China;CN;Austria;AT;Soy;10441.00805;529.6694336
China;CN;Azerbaijan;AZ;Soy;10080.423;541.2977237
China;CN;Belarus;BY;Soy;13536.77319;529.5197446
China;CN;Belgium;BE;Soy;12578.38454;526.2879523
China;CN;Bosnia;BA;Soy;10439.064;541.3051467
China;CN;Bulgaria;BG;Soy;9988.537977;582.9285797
China;CN;Croatia;HR;Soy;10439.064;541.3051467
China;CN;Czechia;CZ;Soy;11607.00589;1478.804382
China;CN;Denmark;DK;Soy;13119.51218;542.0913341
China;CN;Estonia;EE;Soy;13999.5;541.3929063
China;CN;Finland;FI;Soy;13999.5;541.3929063
China;CN;France;FR;Soy;11719.83468;1023.925124
China;CN;Germany;DE;Soy;12379.52541;1047.672306
China;CN;Greece;GR;Soy;9368.136;541.2837502
China;CN;Hungary;HU;Soy;10421.84923;535.1733607
China;CN;Iceland;IS;Soy;13311.189;541.3739477
China;CN;Ireland;IE;Soy;12496.005;541.3527299
China;CN;Italy;IT;Soy;10417.68528;630.6430083
China;CN;Kazachstan;KZ;Soy;10080.423;541.2977237
China;CN;Kosovo;XK;Soy;9368.136;541.2837502
China;CN;Latvia;LV;Soy;13644.47077;565.5524513
China;CN;Liechtenstein;LI;Soy;10577.925;541.3080905
China;CN;Lithuania;LT;Soy;13537.962;541.3800884
China;CN;Luxembourg;LU;Soy;12572.928;541.3546749
China;CN;Moldova;MD;Soy;10080.423;541.2977237
China;CN;Montenegro;ME;Soy;10388.06743;578.4455917
China;CN;Netherlands;NL;Soy;12675.47885;526.597117
China;CN;North.Mazedonia;MK;Soy;9368.136;541.2837502
China;CN;Norway;NO;Soy;13371.70605;564.2475659
China;CN;Poland;PL;Soy;13504.15085;529.5177495
China;CN;Portugal;PT;Soy;11308.194;541.3242115
China;CN;Romania;RO;Soy;10089.03038;532.3637399
China;CN;Russia;RU;Soy;12920.00444;1820.792343
China;CN;Serbia;RS;Soy;10270.07788;598.3675694
China;CN;Slovakia;SK;Soy;11448.91463;1567.57134
China;CN;Slovenia;SI;Soy;10439.064;541.3051467
China;CN;Spain;ES;Soy;10844.26164;575.0732238
China;CN;Sweden;SE;Soy;13343.37404;586.7679413
China;CN;Switzerland;CH;Soy;10577.925;541.3080905
China;CN;Turkey;TR;Soy;10009.1943;572.6754734
China;CN;Ukraine;UA;Soy;10549.57402;1307.593916
China;CN;UK;GB;Soy;12523.76505;531.7855358
USA;US;Albania;AL;Soy;6377.842;1094.144409
USA;US;Andorra;AD;Soy;5313.718;1094.117173
USA;US;Austria;AT;Soy;6553.067752;1048.640054
USA;US;Azerbaijan;AZ;Soy;7036.156;1094.16374
USA;US;Belarus;BY;Soy;6835.56562;1043.259463
USA;US;Belgium;BE;Soy;5718.988924;1028.085068
