filename;country1;country1 ID;country2;country2 ID;count;mean;sd;min;0.25;0.5;0.75;max;scipy_nobs;scipy_mean;scipy_variance;scipy_skewness;scipy_kurtosis;scipy_min;scipy_max
1;Austria;AT;Austria;AT;30807325;153.4205401;90.22018793;0.18;86.33;145.22;201;572.86;30807325;153.4205401;8139.682309;1.007839007;1.513719062;0.18;572.86
2;Austria;AT;Azerbaijan;AZ;62800;2769.144278;118.163717;2485.78;2689.3;2755.44;2833.84;3261.6;62800;2769.144278;13962.66401;0.802371195;1.163978518;2485.78;3261.6
3;Austria;AT;Belarus;BY;926300;1142.219423;182.4226948;609.76;1014.8;1152.06;1270.22;1759.52;926300;1142.219423;33278.03958;-0.071764412;-0.295886596;609.76;1759.52
4;Austria;AT;Belgium;BE;4560850;821.4007184;105.233163;364.52;755.31;829.15;896.44;1108.66;4560850;821.4007184;11074.0186;-0.450311298;0.222203996;364.52;1108.66
5;Austria;AT;Bosnia and Herzegovina;BA;1106850;477.8780344;105.8275653;166.56;405.5;477.34;550.96;872.75;1106850;477.8780344;11199.47357;0.052385199;-0.110304535;166.56;872.75
6;Austria;AT;Bulgaria;BG;2064550;985.5610851;137.892748;579.2;892.16;986.16;1075.38;1558.91;2064550;985.5610851;19014.40995;0.154908815;0.16200895;579.2;1558.91
7;Austria;AT;Croatia;HR;4396000;351.7682367;129.3718134;28.04;261.33;341.67;435.28;883.57;4396000;351.7682367;16737.06609;0.316396984;-0.229826762;28.04;883.57
8;Austria;AT;Czechia;CZ;769300;274.7067895;96.01847039;6.98;206.37;267.19;344.29;718.04;769300;274.7067895;9219.546657;0.314211766;0.090057986;6.98;718.04
9;Austria;AT;Denmark;DK;777150;944.9486373;103.0054914;680.24;862.41;940.48;1013.63;1266.82;777150;944.9486373;10610.13126;0.365217396;-0.336264599;680.24;1266.82
10;Austria;AT;Estonia;EE;36769400;1399.873735;109.246897;1080.31;1318.6;1394;1473.84;1829.31;36769400;1399.873735;11934.88451;0.27085072;-0.27662534;1080.31;1829.31
11;Austria;AT;Finland;FI;3430450;1743.974925;214.6371637;1301.6;1583.2725;1719.06;1876.4;2694.94;3430450;1743.974925;46069.11203;0.687764099;0.447940732;1301.6;2694.94
12;Austria;AT;France;FR;284570350;953.0756425;225.7226066;151.2;787.63;954.44;1125.03;1643.72;284570350;953.0756425;50950.69512;-0.097408189;-0.504305171;151.2;1643.72
13;Austria;AT;Germany;DE;88720700;543.7231375;178.9347186;1.08;414.63;550.97;676.12;1071.6;88720700;543.7231375;32017.63353;-0.137134955;-0.488400082;1.08;1071.6
14;Austria;AT;Greece;GR;2001750;1179.454618;149.9932666;774.43;1061.65;1185.27;1301.13;1671.07;2001750;1179.454618;22497.98001;-0.052269686;-0.789071431;774.43;1671.07
15;Austria;AT;Guernsey;GG;94200;1293.438206;95.46072931;902.94;1242.22;1312.7;1362.5;1459.9;94200;1293.438206;9112.75084;-1.244049475;1.902191493;902.94;1459.9
16;Austria;AT;Hungary;HU;1318800;362.9135021;144.0617418;7.43;257.85;354.02;453.98;987.01;1318800;362.9135021;20753.78545;0.482301695;0.308703205;7.43;987.01
17;Austria;AT;Iceland;IS;934150;2796.515512;126.4970982;2391.88;2713.6;2802.7;2885.07;3163.08;934150;2796.515512;16001.51585;-0.225317036;-0.203011398;2391.88;3163.08
18;Austria;AT;Ireland;IE;832100;1706.220821;110.0540471;1272.38;1637.43;1712.24;1784.14;1999.75;832100;1706.220821;12111.89329;-0.422124399;0.227915907;1272.38;1999.75
19;Austria;AT;Isle of Man;IM;164850;1533.902654;82.86648244;1235.06;1482.34;1543.75;1598.93;1689.96;164850;1533.902654;6866.853911;-0.711256927;0.414040308;1235.06;1689.96
20;Austria;AT;Italy;IT;60499950;605.3619828;226.3204314;4.53;453.33;584.17;724.41;1369.43;60499950;605.3619828;51220.93767;0.54322829;0.218436053;4.53;1369.43
21;Austria;AT;Jersey;JE;94200;1262.921777;95.85134979;881.9;1211.3875;1282.73;1331.88;1428.56;94200;1262.921777;9187.481256;-1.274065512;1.989712562;881.9;1428.56
22;Austria;AT;Kazakhstan;KZ;62800;2546.004183;141.1379564;2214.12;2448.17;2536.165;2634.32;3102.86;62800;2546.004183;19919.92273;0.495069832;0.376054331;2214.12;3102.86
23;Austria;AT;Kosovo;XK;235500;756.4850698;86.57769431;545.57;692.19;756.27;813.22;1092.05;235500;756.4850698;7495.697152;0.387350408;0.288425595;545.57;1092.05
24;Austria;AT;Latvia;LV;204100;1228.427819;119.4178248;921.07;1142.7175;1223.96;1307.96;1639.45;204100;1228.427819;14260.61687;0.247084325;-0.201154418;921.07;1639.45
25;Austria;AT;Liechtenstein;LI;86350;410.2243112;102.87549;1.59;357.1;440.36;481.12;577.65;86350;410.2243112;10583.36644;-1.393726797;2.335827599;1.59;577.65
26;Austria;AT;Lithuania;LT;376800;1050.302461;114.2868457;770.15;965.6;1043.13;1125.76;1483.57;376800;1050.302461;13061.48309;0.383300082;-0.115388609;770.15;1483.57
27;Austria;AT;Luxembourg;LU;989100;681.2429418;89.39675571;328.1;630.48;697.21;748.57;857.13;989100;681.2429418;7991.779931;-0.985640868;0.984449095;328.1;857.13
28;Austria;AT;Moldova;MD;290450;1030.78146;114.8241096;736.12;952.7;1016.41;1092.02;1534.13;290450;1030.78146;13184.57614;0.881507396;1.329125829;736.12;1534.13
29;Austria;AT;Monaco;MC;7850;734.6806904;97.94933627;412.18;679.95;748.27;808.6425;912.88;7850;734.6806904;9594.072476;-0.868411639;0.527736229;412.18;912.88
30;Austria;AT;Montenegro;ME;164850;672.1735615;84.94130851;449.91;607.61;677.73;731.8;980.43;164850;672.1735615;7215.025892;0.12029471;-0.167702257;449.91;980.43
31;Austria;AT;Netherlands;NL;2786750;835.8657139;91.86413809;449.82;773.67;841.02;903.51;1076.82;2786750;835.8657139;8439.019868;-0.324926713;-0.17800706;449.82;1076.82
32;Austria;AT;North Macedonia;MK;635850;873.5397915;91.04821056;645.29;808.63;872.38;932.86;1252;635850;873.5397915;8289.776647;0.345279842;0.192007896;645.29;1252
33;Austria;AT;Norway;NO;3438300;1678.246161;377.9378074;1117.18;1390.92;1573.3;1840.96;2833.02;3438300;1678.246161;142836.9863;1.009508094;0.107708596;1117.18;2833.02
34;Austria;AT;Poland;PL;19460150;595.283495;165.2590737;153.94;475.12;592.65;709.43;1241.07;19460150;595.283495;27310.56144;0.166936347;-0.332290969;153.94;1241.07
35;Austria;AT;Portugal;PT;31784650;1996.295317;138.9361066;1402.77;1913.61;2002.85;2079.75;2457.3;31784650;1996.295317;19303.24173;-0.328144946;0.641628125;1402.77;2457.3
36;Austria;AT;Romania;RO;23071150;820.3396223;176.0046632;311.92;694.06;824.71;938.03;1556.51;23071150;820.3396223;30977.64146;0.13737017;-0.150510563;311.92;1556.51
37;Austria;AT;Russia;RU;13800300;2109.995448;444.5482151;687.15;1777.01;2056.3;2434.49;3621.75;13800300;2109.995448;197623.1155;0.218702394;-0.354403739;687.15;3621.75
38;Austria;AT;San Marino;SM;70650;475.8073483;78.73028397;296.95;411.9625;483.36;541.0475;632.22;70650;475.8073483;6198.457615;-0.243830086;-0.96162299;296.95;632.22
39;Austria;AT;Serbia;RS;1263850;607.5562417;138.8771208;241.85;506.16;599.68;701.09;1151.1;1263850;607.5562417;19286.85468;0.300437159;-0.183558376;241.85;1151.1
40;Austria;AT;Slovakia;SK;620150;357.0262946;151.825774;5.33;242.9125;345.01;456.73;966.42;620150;357.0262946;23051.06565;0.478324305;0.083893437;5.33;966.42
41;Austria;AT;Slovenia;SI;1507200;207.874081;83.14373411;2.36;147.86;215.84;263.81;530.69;1507200;207.874081;6912.880522;0.016186208;-0.12260638;2.36;530.69
42;Austria;AT;Spain;ES;63906850;1619.788656;245.9450996;734.41;1455.77;1627.85;1797.53;2334.82;63906850;1619.788656;60488.99203;-0.182844779;-0.311143737;734.41;2334.82
43;Austria;AT;Sweden;SE;2276500;1298.053133;315.530165;722.78;1084.51;1244.99;1415.29;2445.27;2276500;1298.053133;99559.28501;1.019529962;0.810798443;722.78;2445.27
44;Austria;AT;Switzerland;CH;21830850;538.4352461;125.4197049;2.07;468.45;550.52;626.55;868.85;21830850;538.4352461;15730.10237;-0.729645968;0.859669003;2.07;868.85
45;Austria;AT;Turkey;TR;408200;1275.289847;111.6587025;995.09;1199.27;1268.98;1342.99;1701.29;408200;1275.289847;12467.66585;0.468598088;0.501918573;995.09;1701.29
46;Austria;AT;Ukraine;UA;4945500;1257.641932;343.9827013;391.55;998.58;1276.94;1524.15;2254.38;4945500;1257.641932;118324.0988;-0.115652378;-0.789068254;391.55;2254.38
47;Austria;AT;United Kingdom;GB;71285850;1307.164369;167.2456432;722.94;1192.55;1298.89;1410.44;1901.52;71285850;1307.164369;27971.10518;0.295666559;0.212061699;722.94;1901.52
48;Austria;AT;Vatican City;VA;7850;686.8060204;77.92639764;523.97;618.52;698.48;751.7725;830.12;7850;686.8060204;6072.52345;-0.224061666;-1.078724227;523.97;830.12
49;Albania;AL;Albania;AL;71253;97.47782086;55.63999591;0.27;54.73;88.62;132.19;317.64;71253;97.47782086;3095.809145;0.68811555;0.024423589;0.27;317.64
50;Albania;AL;Andorra;AD;2646;1540.022354;36.47240084;1458.72;1512.24;1536.4;1564.965;1637.75;2646;1540.022354;1330.236023;0.318996154;-0.537593259;1458.72;1637.75
51;Albania;AL;Austria;AT;2967300;854.6775405;102.7880099;545.18;782.28;855.33;928.48;1215.61;2967300;854.6775405;10565.37498;-0.009077552;-0.37890596;545.18;1215.61
52;Albania;AL;Azerbaijan;AZ;3024;2395.376815;68.26092648;2197.41;2356.8425;2401.97;2444.3125;2542.55;3024;2395.376815;4659.554084;-0.482281729;-0.138263393;2197.41;2542.55
53;Albania;AL;Belarus;BY;44604;1515.915764;147.4813862;1087.18;1407.9475;1516.58;1627.02;1919.77;44604;1515.915764;21750.75927;-0.055566981;-0.580206882;1087.18;1919.77
54;Albania;AL;Belgium;BE;219618;1602.061557;86.34586895;1327.53;1541.82;1602.6;1662.86;1861.47;219618;1602.061557;7455.609085;-0.036754325;-0.347981645;1327.53;1861.47
55;Albania;AL;Bosnia and Herzegovina;BA;53298;390.8881258;98.90260391;105.73;319.94;390.005;460.88;702.21;53298;390.8881258;9781.72506;0.057983554;-0.424922305;105.73;702.21
56;Albania;AL;Bulgaria;BG;99414;473.4616196;128.4037945;172.17;374.37;457.4;573.73;833.02;99414;473.4616196;16487.53444;0.256930994;-0.80010623;172.17;833.02
57;Albania;AL;Croatia;HR;211680;546.3122344;121.6758501;92.41;465.4875;558.09;637.12;838.59;211680;546.3122344;14805.01249;-0.407019733;-0.278876161;92.41;838.59
58;Albania;AL;Czechia;CZ;37044;1049.669829;100.2220672;739.47;981.525;1051.905;1122.6525;1321.26;37044;1049.669829;10044.46276;-0.185057699;-0.378264283;739.47;1321.26
59;Albania;AL;Denmark;DK;37422;1768.461962;107.9582799;1445.09;1690.55;1762.95;1839.1275;2108.07;37422;1768.461962;11654.99019;0.244931256;-0.30569537;1445.09;2108.07
60;Albania;AL;Estonia;EE;1770552;1985.496032;90.61261162;1720.04;1921.85;1985.3;2049.28;2268.52;1770552;1985.496032;8210.645384;0.040679175;-0.459293632;1720.04;2268.52
61;Albania;AL;Finland;FI;165186;2384.894969;210.9713854;1953.5;2228.3825;2353.39;2507.1775;3362.2;165186;2384.894969;44508.92545;0.868853533;0.898733329;1953.5;3362.2
62;Albania;AL;France;FR;13702878;1553.708714;201.7387369;978.11;1390.59;1564.14;1702.23;2234.83;13702878;1553.708714;40698.51798;0.061834097;-0.588510637;978.11;2234.83
63;Albania;AL;Germany;DE;4272156;1348.131257;189.5830772;767.27;1213.1;1349.88;1482.64;1917.92;4272156;1348.131257;35941.74318;-0.027333879;-0.499310078;767.27;1917.92
64;Albania;AL;Greece;GR;96390;365.4267495;128.1565463;13.52;266.3125;375.89;467.01;755.13;96390;365.4267495;16424.10036;-0.17916351;-0.747783698;13.52;755.13
65;Albania;AL;Guernsey;GG;4536;1988.313724;53.09515033;1858.95;1951.42;1984.245;2027.6725;2099.81;4536;1988.313724;2819.094989;0.09422711;-0.697301865;1858.95;2099.81
66;Albania;AL;Hungary;HU;63504;694.8454923;100.2509418;387.22;625.18;696.545;768.4325;982.4;63504;694.8454923;10050.25133;-0.11230145;-0.431541133;387.22;982.4
67;Albania;AL;Iceland;IS;44982;3641.231374;123.0668113;3258.64;3562.57;3649.185;3727.0575;4003.32;44982;3641.231374;15145.44004;-0.266376916;-0.125394747;3258.64;4003.32
68;Albania;AL;Ireland;IE;40068;2473.765269;88.31783623;2239.02;2409.05;2472.56;2535.5025;2746.98;40068;2473.765269;7800.040196;0.092919274;-0.471867113;2239.02;2746.98
69;Albania;AL;Isle of Man;IM;7938;2331.494869;60.69697451;2191.17;2287.325;2330.9;2376.6475;2465.38;7938;2331.494869;3684.122714;0.029912487;-0.772719147;2191.17;2465.38
70;Albania;AL;Italy;IT;2913246;784.431049;254.4990896;88.53;561.09;843.2;1002.11;1276.47;2913246;784.431049;64769.78659;-0.425005015;-0.977385697;88.53;1276.47
71;Albania;AL;Jersey;JE;4536;1950.583064;52.52071266;1830.74;1913.9475;1946.66;1989.18;2062.55;4536;1950.583064;2758.425258;0.103811604;-0.705432713;1830.74;2062.55
72;Albania;AL;Kazakhstan;KZ;3024;2473.01127;113.7128669;2236.02;2378.44;2471.8;2565.1075;2725.63;3024;2473.01127;12930.61609;0.068755966;-1.006847838;2236.02;2725.63
73;Albania;AL;Kosovo;XK;11340;186.0192998;67.52522042;7.06;135.6975;187.525;234.535;384.91;11340;186.0192998;4559.655393;0.012085631;-0.55219641;7.06;384.91
74;Albania;AL;Latvia;LV;9828;1791.146732;88.43364262;1564.62;1729.4;1791.055;1853.915;2043.84;9828;1791.146732;7820.509147;0.030926048;-0.478510063;1564.62;2043.84
75;Albania;AL;Liechtenstein;LI;4158;1074.476123;57.56795968;945.48;1033.235;1071.925;1117.4675;1200.79;4158;1074.476123;3314.069982;0.071861293;-0.744591764;945.48;1200.79
76;Albania;AL;Lithuania;LT;18144;1609.72427;97.1182849;1317.01;1542.535;1611.82;1682.0125;1866.53;18144;1609.72427;9431.961262;-0.159198704;-0.41914875;1317.01;1866.53
77;Albania;AL;Luxembourg;LU;47628;1444.923359;61.6306821;1288.63;1399.7075;1442.88;1490.6625;1608.4;47628;1444.923359;3798.340977;0.049713595;-0.690278932;1288.63;1608.4
78;Albania;AL;Moldova;MD;13986;962.370103;68.08024043;749.06;914.2225;964.095;1012.2075;1140.75;13986;962.370103;4634.919137;-0.143612628;-0.403860898;749.06;1140.75
79;Albania;AL;Monaco;MC;378;1077.621772;41.25617021;991.67;1047.6425;1073.56;1105.7025;1172.27;378;1077.621772;1702.07158;0.260749328;-0.615612758;991.67;1172.27
80;Albania;AL;Montenegro;ME;7938;195.072808;74.39648357;10.86;138.405;195.08;250.1225;409.34;7938;195.072808;5534.836768;0.068264018;-0.622398193;10.86;409.34
81;Albania;AL;Netherlands;NL;134190;1650.691662;81.1105074;1388.79;1594.34;1651.81;1708.75;1899.39;134190;1650.691662;6578.91441;-0.088190482;-0.386492269;1388.79;1899.39
82;Albania;AL;North Macedonia;MK;30618;173.8288187;60.11720509;10.41;129.6625;173.97;219.2875;336.3;30618;173.8288187;3614.078348;-0.051908396;-0.631123402;10.41;336.3
83;Albania;AL;Norway;NO;165564;2477.642026;345.5309286;1921.2;2209.39;2393.35;2637.2225;3494.39;165564;2477.642026;119391.6226;0.897894278;-0.1007579;1921.2;3494.39
84;Albania;AL;Poland;PL;937062;1201.764025;169.2392176;751.82;1073.08;1196.89;1327.49;1688.97;937062;1201.764025;28641.91277;0.088855017;-0.669649649;751.82;1688.97
85;Albania;AL;Portugal;PT;1530522;2366.145557;73.60041602;2119.44;2317.72;2363.94;2413.56;2617.51;1530522;2366.145557;5417.021238;0.094786319;-0.141450649;2119.44;2617.51
86;Albania;AL;Romania;RO;1110942;677.8626021;142.3613062;278.67;571.4;679.02;784.6;1087.83;1110942;677.8626021;20266.74151;-0.022424282;-0.644442071;278.67;1087.83
87;Albania;AL;Russia;RU;664524;2262.804449;434.9057624;1332.74;1954.91;2170.12;2547.1525;3880.66;664524;2262.804449;189143.0222;0.578262921;-0.319339264;1332.74;3880.66
88;Albania;AL;San Marino;SM;3402;698.2881864;47.96867767;594.26;664.48;693.405;733.0625;798.9;3402;698.2881864;2300.994038;0.193908519;-0.673574373;594.26;798.9
89;Albania;AL;Serbia;RS;60858;372.0547785;109.8122368;62.51;291.16;367.89;449.08;711.81;60858;372.0547785;12058.72736;0.158407081;-0.468276125;62.51;711.81
90;Albania;AL;Slovakia;SK;29862;855.7695362;82.75657615;605.03;795.04;858.52;916.5275;1087.96;29862;855.7695362;6848.650896;-0.061783922;-0.545334298;605.03;1087.96
91;Albania;AL;Slovenia;SI;72576;699.9613838;71.33593951;490.38;647.5;700.85;751.91;913.55;72576;699.9613838;5088.816266;-0.007100733;-0.584518469;490.38;913.55
92;Albania;AL;Spain;ES;3077298;1940.769819;229.1844861;1328.94;1787.84;1956.72;2115.12;2515.2;3077298;1940.769819;52525.52866;-0.29891877;-0.511736724;1328.94;2515.2
93;Albania;AL;Sweden;SE;109620;2063.381539;295.1754394;1499.72;1866.6375;2014.605;2165.87;3170.83;109620;2063.381539;87128.54004;1.021484845;0.806063643;1499.72;3170.83
94;Albania;AL;Switzerland;CH;1051218;1168.582485;83.05446663;859.33;1114.4225;1173.88;1228.1;1368.68;1051218;1168.582485;6898.044427;-0.290834751;-0.286585827;859.33;1368.68
95;Albania;AL;Turkey;TR;19656;670.9466977;81.48058318;439.99;602.23;682.08;743.81;811.72;19656;670.9466977;6639.085435;-0.286738833;-1.052206555;439.99;811.72
96;Albania;AL;Ukraine;UA;238140;1294.648755;240.0445763;670.73;1116.73;1279.27;1486.1475;1907.02;238140;1294.648755;57621.3986;0.04531805;-0.798776953;670.73;1907.02
97;Albania;AL;United Kingdom;GB;3432618;2085.097917;164.0597632;1687.1;1963.07;2072.41;2177.99;2716.83;3432618;2085.097917;26915.60591;0.624119561;0.23722924;1687.1;2716.83
98;Albania;AL;Vatican City;VA;378;641.4137831;35.2178063;575.36;612.9025;637.41;666.95;729.93;378;641.4137831;1240.29388;0.354306646;-0.668031072;575.36;729.93
99;Åland;Åland;Åland;Åland;120;35.97183333;18.87431811;5.83;20.095;31.525;51.0325;84.58;120;35.97183333;356.239884;0.621302749;-0.472343265;5.83;84.58
100;Albania;AL;Åland;Åland;6048;2122.835403;74.41758364;1939.05;2062.6875;2130.03;2177.615;2309.23;6048;2122.835403;5537.976755;-0.077291119;-0.77439627;1939.05;2309.23
101;Andorra;AD;Åland;Åland;112;2338.219732;18.66813861;2308.83;2324.595;2335.795;2346.235;2395.14;112;2338.219732;348.499399;1.005267647;0.891149159;2308.83;2395.14
102;Austria;AT;Åland;Åland;125600;1428.291342;83.40031055;1268.5;1358.94;1414.12;1501.28;1660.28;125600;1428.291342;6955.6118;0.238866979;-1.082422113;1268.5;1660.28
103;Azerbaijan;AZ;Åland;Åland;128;2879.483359;57.68499509;2753.42;2835.9225;2872.53;2919.415;3002.99;128;2879.483359;3327.558659;0.223090468;-0.783575175;2753.42;3002.99
104;Belarus;BY;Åland;Åland;1888;893.9924311;118.0499077;601.9;805.3175;893.745;979.7575;1168.68;1888;893.9924311;13935.78072;0.043047334;-0.733321321;601.9;1168.68
105;Belgium;BE;Åland;Åland;9296;1439.939836;43.03975256;1327.02;1407.57;1439.83;1472.56;1569.09;9296;1439.939836;1852.4203;0.040844944;-0.58223587;1327.02;1569.09
106;Bosnia and Herzegovina;BA;Åland;Åland;2256;1785.796387;64.91496011;1660.21;1733.28;1782.275;1829.075;1974.78;2256;1785.796387;4213.952046;0.385319101;-0.497845868;1660.21;1974.78
107;Bulgaria;BG;Åland;Åland;4208;1967.338106;80.02515286;1761.8;1902.6025;1964.47;2030.7875;2150.21;4208;1967.338106;6404.025091;0.038889425;-0.885085171;1761.8;2150.21
108;Croatia;HR;Åland;Åland;8960;1697.620647;108.5603367;1521.7;1613.8475;1670.19;1767.365;1997.84;8960;1697.620647;11785.34671;0.716272121;-0.532710478;1521.7;1997.84
109;Czechia;CZ;Åland;Åland;1568;1196.773865;52.31572606;1075.58;1164.9425;1190.13;1231.125;1369.91;1568;1196.773865;2736.935193;0.295036412;-0.165341702;1075.58;1369.91
110;Denmark;DK;Åland;Åland;1584;739.119154;68.15746932;594.19;681.945;729.615;791.9275;934.35;1584;739.119154;4645.440625;0.37593994;-0.752413945;594.19;934.35
111;Estonia;EE;Åland;Åland;74944;351.1190343;88.92501059;126.38;274.7;351.545;424.7525;539.1;74944;351.1190343;7907.657509;0.02421481;-1.039652627;126.38;539.1
